# Bat Discharge; Bat Charge
0.8939;0
0.7195;0
0.5757;0
0.5158;0
0.6636;0
0.6776;0
0.5837;0
0.603;0
0.7086;0
0.5065;0
0.6709;0
0.6462;0
0.575;0
0.6656;0
0.6469;0
0.7148;0
0.4452;0
0.8047;0
0.7872;0
0.6469;0
1.4543;0
2.7593;0
0.7972;0
1.3379;0
0;0
0.0004;0
0.0004;0
0.0004;0
0.0004;0
0.0004;0
0.0004;0
0.0004;0
0;0.0206
0;0.2883
0;0.1596
0;0.1398
0;0.8264
0;0.0218
0.7346;0
0.534;0
0;0.4221
0;0.5781
0.5803;0
0;0.0281
0;0
0;0
0;0
0;0
0;0
0;0
0.4863;0
0;0.8221
0;0.1196
0;0.4205
0;0.8587
0;1.1923
0;1.1676
0;1.5702
0;1.7252
0;0.7866
0;1.4334
0;0.9416
0;0.6028
0;1.3462
0;1.2571
0;1.3399
0;0.9711
0;0.909
0;1.0149
0;0.8206
0;0.5391
0;0.4995
0;0.2913
0.4011;0
0.3724;0
0.1125;0
0.3956;0
0.808;0
1.1218;0
1.0986;0
1.4876;0
1.6131;0
1.4273;0
1.2515;0
1.4258;0
1.5031;0
1.3506;0
1.5628;0
3.3;0
0.1784;0
0;0
0;0
0;0
0;0
0;0
0;0
