#Tot cost [EUR]; tot  CO2 emissions [kg CO2]
-0.0074;0
-0.0074;0
-0.0074;0.0001
-0.0074;0.0001
-0.0074;0.0001
-0.0074;0.0001
-0.0073;0.0001
-0.0073;0.0001
-0.0073;0.0001
-0.0073;0.0002
-0.0073;0.0002
-0.0073;0.0002
-0.0072;0.0002
-0.0072;0.0002
-0.0072;0.0002
-0.0072;0.0003
-0.0072;0.0003
-0.0072;0.0003
-0.0071;0.0003
-0.0071;0.0003
-0.0071;0.0004
-0.007;0.0004
-0.007;0.0005
-0.007;0.0005
0.0899;0.1535
0.1281;0.214
0.1724;0.2838
0.2165;0.3535
0.252;0.4097
0.2851;0.4619
0.3087;0.4992
0.3167;0.5119
0.3167;0.5119
0.3167;0.5119
0.3167;0.5119
0.3167;0.5119
0.3167;0.5119
0.3167;0.5119
0.3168;0.5119
0.3168;0.512
0.3168;0.512
0.3168;0.512
0.3168;0.512
0.301;0.512
0.2701;0.512
0.2375;0.512
0.1722;0.512
0.1159;0.512
0.0699;0.512
0.0141;0.512
0.0142;0.512
-0.0206;0.512
-0.0523;0.512
-0.0735;0.512
-0.0985;0.5121
-0.1131;0.5121
-0.1354;0.5121
-0.1353;0.5122
-0.1409;0.5122
-0.1409;0.5122
-0.1408;0.5123
-0.1408;0.5123
-0.1408;0.5123
-0.1408;0.5123
-0.1407;0.5124
-0.1407;0.5124
-0.1407;0.5124
-0.1406;0.5124
-0.1406;0.5125
-0.1406;0.5125
-0.1406;0.5125
-0.1406;0.5125
-0.1406;0.5125
-0.1406;0.5125
-0.1405;0.5125
-0.1405;0.5125
-0.1405;0.5126
-0.1405;0.5126
-0.1405;0.5126
-0.1405;0.5126
-0.1404;0.5127
-0.1404;0.5127
-0.1403;0.5127
-0.1403;0.5128
-0.1403;0.5128
-0.1402;0.5128
-0.1402;0.5129
-0.1402;0.5129
-0.1374;0.5173
-0.0064;0.7243
0.1496;0.9707
0.3093;1.223
0.3519;1.2903
0.3834;1.3401
0.4142;1.3888
0.4702;1.4772
