#BHKWG2;BHKWG2OFF
0.7867;0
1.1253;0
1.168;0
1.2613;0
1.0213;0
0.7707;0
0.7547;0
0.8427;0
0.8293;0
1.2187;0
1.1573;0
1.2667;0
0.952;0
1.0747;0
0.848;0
0.888;0
0.8373;0
1.2267;0
1.1707;0
1.264;0
5.1773;0
4.6667;0
3.7627;0
6;0
6;0
5.9636;0
2.824;0
5.7982;0
5.6991;0
6;0
1.4427;0
1.5088;0
2.0884;0
3.7733;0
1.32;0
1.2587;0
1.216;0
1.144;0
1.064;0
3.2613;0
1.6933;0
5.376;0
5.8667;0
1.3627;0
1.7413;0
1.336;0
1.1547;0
5.88;0
6;0
3.768;0
1.3147;0
1.2187;0
1.3787;0
1.5707;0
1.3867;0
1.3867;0
1.84;0
2.16;0
2.0827;0
1.6533;0
1.688;0
0.9573;0
1.0773;0
1.3307;0
2.3947;0
1.4427;0
1.992;0
1.4773;0
1.1307;0
1.656;0
1.7627;0
1.6853;0
1.5653;0
1.5573;0
1.5467;0
1.8587;0
6;0
5.9973;0
3.808;0
4.6853;0
4.6427;0
4.728;0
4.696;0
4.4;0
4.4187;0
4.9333;0
4.736;0
4.7493;0
5.0773;0
5.0107;0
4.8027;0
4.1813;0
4.0933;0
4.576;0
3.3173;0
3.7173;0
