#Total cost [EUR];CO2 emissions [kg CO2]
0.0117;0.0398
0.0283;0.0966
0.0455;0.1556
0.0642;0.2194
0.0793;0.271
0.0907;0.31
0.1019;0.3481
0.1144;0.3908
0.1267;0.4327
0.1447;0.4943
0.1618;0.5527
0.1805;0.6168
0.1946;0.6649
0.2105;0.7192
0.2231;0.7621
0.2362;0.807
0.2487;0.8494
0.2668;0.9114
0.2841;0.9705
0.3028;1.0344
0.3392;1.2958
0.3718;1.5315
0.4274;1.7216
0.4736;2.0246
0.5203;2.3276
0.5845;2.6288
0.6262;2.7714
0.6699;3.0642
0.7117;3.352
0.7557;3.6551
0.777;3.7279
0.796;3.8041
0.8233;3.9096
0.879;4.1002
0.8985;4.1668
0.9171;4.2304
0.935;4.2918
0.9519;4.3496
0.9676;4.4033
1.0157;4.568
1.0407;4.6536
1.12;4.9251
1.2066;5.2214
1.2267;5.2902
1.2524;5.3782
1.2721;5.4457
1.2892;5.504
1.3759;5.8009
1.5047;6.1675
1.5603;6.3578
1.5797;6.4242
1.5976;6.4858
1.618;6.5554
1.6411;6.6347
1.6616;6.7047
1.6821;6.7748
1.7092;6.8677
1.7411;6.9768
1.7718;7.082
1.7962;7.1655
1.8211;7.2507
1.8352;7.299
1.8511;7.3534
1.8707;7.4206
1.906;7.5416
1.9273;7.6144
1.9567;7.715
1.9785;7.7896
1.9952;7.8467
2.0196;7.9304
2.0456;8.0194
2.0705;8.1045
2.0935;8.1835
2.1165;8.2622
2.1393;8.3403
2.1668;8.4342
2.347;8.8822
2.4356;9.1851
2.4917;9.3774
2.5609;9.614
2.6294;9.8485
2.6991;10.0873
2.7684;10.3245
2.8334;10.5467
2.8985;10.7699
2.9714;11.0191
3.0412;11.2582
3.1113;11.4981
3.1862;11.7545
3.2602;12.0076
3.331;12.2501
3.3927;12.4613
3.4531;12.668
3.5206;12.8992
3.5696;13.0667
3.6244;13.2545
